commit_sha,replay_date,run_id,score_before,score_after,score_delta,penalties_before,penalties_after,articles_affected,section_changes,notes
6b4dfffb05f58ef6054ba6940477b68bece22d15,2026-07-28,,80,86,6,duplicate_in_send,clean,1,Relevant 4->3 (dup removed; no distinct refill candidate),healthy/health collapse; frozen-replay baseline (prod CSV row was 82)
3d3b88009db4a4c4b0b1536a744e58907c8c6ad8,2026-07-29,,76,72,-4,none,none,1,Transactions 1->0 and Availabilities 0->1,Mercer listing rerouted; score down = removed false transaction coverage
e0f0a7cd8d57fadd7af9b94cd779a2b4bc237123,2026-07-30,,65,64,-1,none,none,1,Relevant 4->3 (no refill candidate),Tag index page removed; artifact carried no penalty
07d910aaee082ee5810052b053f15dbc8f3d748b,2026-07-02,,77,89,12,leak,clean,1,no section change,Ohio/Pennsylvania comparison cleared via mixedComparison; frozen-replay baseline (prod CSV row was 70)
07d910aaee082ee5810052b053f15dbc8f3d748b,2026-07-30,,65,77,12,leak,weak_item,1,no section change,Denver->Philadelphia cleared via routedClean (a -3 weak_item on another item remains)
94033d5ef60d956e103b33ce441f5adef33f5a2b,2026-08-03,,83,89,6,duplicate_in_send,clean,3,Relevant 9->8 and Transactions 4->3,3 CoStar roundups removed; backfill added 1 real deal (C&W East Windsor)
b564279d7ed7f64d01cdc0acd8bd6a35a7d4af6d,2026-08-05,,71,65,-6,clean,weak_item,1,Relevant swap (count unchanged at 4),Industrial stub replaced by TPG data-center story (accepted)
60e8f4f51f329b0b535a09f0c23870d1dd438e6d,2026-08-07,,62,70,8,duplicate_in_send,clean,1,no email change (2nd copy was render-capped out; scored selection 8->7),final-selection dedup — scorer + sent-state correctness (HTML byte-identical 19857 bytes)
6a152f5cf8143167185e519af3cfe4816c14dc23,2026-07-14,,91,86,-5,,,1,backfilled by weaker DC story,carceral guard
6a152f5cf8143167185e519af3cfe4816c14dc23,2026-07-16,,65,64,-1,,,,,carceral guard
6a152f5cf8143167185e519af3cfe4816c14dc23,2026-07-24,,,,,,,0,none,carceral guard - unchanged; exact score not documented in replay evidence
6a152f5cf8143167185e519af3cfe4816c14dc23,2026-08-07,,,,,,,0,none,carceral guard - unchanged; exact score not documented in replay evidence
6a152f5cf8143167185e519af3cfe4816c14dc23,2026-08-10,,77,80,+3,,,,net improvement,carceral guard
18f675ef661dc240f54285b9e9a33dece8246ac9,2026-08-11,,75,75,0,,,1,relevant composition changed (GT->Rubicon/PPL); count unchanged (R5),office-led guard; behavior-preserving
ba8b90da687654aca43889a9a84f4e7c6275ba0c,2026-08-04,,76,76,0,0,0,0,none,"daily-logic-impact; behavior-preservation validation, not quality improvement"
